record_number,code,band_size,scribe,bander,band_prefix,band_number,species_code,species_name,calendar_age,wrp_age,how_age,how_age2,sex,how_sex,how_sex2,eye_color,skull,bp,cp,fat,body_molt,ff_molt,ff_wear,juv_plg,pp_covs,gr_covs,primaries,secondaries,tertials,rectrices,body_plg,wing_chord,mass,day,month,year,capture_time,release_time,station,net_number,status,disposition,notes,comments,notes,,,,,
NULL,N,1A,DR,LP,2641,9314,WOTH,Wood Thrush,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,43.9,6,4,2021,730,NULL,CT,1,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,MX,WS,2641,9315,WOTH,Wood Thrush,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106,59.4,6,4,2021,1020,NULL,CT,5,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,NULL,NULL,2641,9316,BADE,BAND DESTROYED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,2021,NULL,NULL,CT,NULL,300,NULL,BAND DESTROYED FOR NABC BAND REMOVAL PRACTICE,NABC,,,,,,
NULL,N,1A,NULL,NULL,2641,9317,BADE,BAND DESTROYED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,2021,NULL,NULL,CT,NULL,300,NULL,BAND DESTROYED FOR NABC BAND REMOVAL PRACTICE,NABC,,,,,,
NULL,N,1A,DR,LP,2641,9318,GRCA,Gray Catbird,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,36.7,6,4,2021,1545,NULL,CT,17,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,ES,LP,2641,9319,WOTH,Wood Thrush,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106,56.3,6,4,2021,1640,NULL,CT,NULL,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,JC,DF,2641,9320,WOTH,Wood Thrush,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106,44.6,7,4,2021,605,NULL,CT,13,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,LP,DR,2641,9321,WOTH,Wood Thrush,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,58.4,7,4,2021,635,NULL,CT,4,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,OW,JC,2641,9322,GRCA,Gray Catbird,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,23,8,4,2021,800,NULL,CT,15,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,JC,OW,2641,9323,GRCA,Gray Catbird,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,22.5,8,4,2021,800,NULL,CT,NULL,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,JC,ES,2641,9324,GRCA,Gray Catbird,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,23.6,8,4,2021,900,NULL,CT,NULL,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,DR,LP,2641,9325,WOTH,Wood Thrush,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,46.9,9,4,2021,630,NULL,CT,1,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,RC,WS,2641,9326,WOTH,Wood Thrush,SY,NULL,L,NULL,U,NULL,NULL,NULL,NULL,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103,59.2,9,4,2021,800,NULL,CT,NULL,300,NULL,NULL,NABC,,,,,,
NULL,R,1A,JF,RGM,2641,9326,WOTH,Wood Thrush,SY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,2,,J,L,J,J,J,J,F,105,46.8,30,3,2022,805,827,CT,10,300,NULL,,,,,,,,
NULL,R,1A,EA,JH,2641,9326,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,3,0,N,2,NULL,J,L,J,J,J,J,F,104,52.4,9,11,2021,15:45,16:30,CT,10,300,NULL,,,,,,,,
NULL,R,1A,MC,WD,2641,9326,WOTH,Wood Thrush,AHY,DCB,P,NULL,U,NULL,NULL,NULL,NULL,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105,42.2,12,11,2021,7:45,8:42,CT,10,300,NULL,,,,,,,,
NULL,N,1A,DR,MC,2641,9327,WOTH,Wood Thrush,AHY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106,48.6,13,4,2021,630,NULL,CT,13,300,NULL,NULL,NABC,,,,,,
NULL,N,1A,DF,ES,2641,9328,RBGR,Rose-breasted Grosbeak,ASY,NULL,P,NULL,M,P,NULL,NULL,NULL,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103,53,20,4,2021,710,NULL,CT,3,300,NULL,White PP mesurement=11.2,NULL,,,,,,
NULL,N,1A,ZA,MC,2641,9329,YBCH,Yellow-breasted Chat,HY,FCF,P,L,F,P,NULL,NULL,NULL,0,0,1,0,N,1,NULL,J,F,L,J,J,J,F,76,26,7,10,2021,730,NULL,CT,13,300,NULL,,,,,,,,
NULL,N,1A,ZA,FF,2641,9330,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,3,0,N,1,NULL,J,L,J,J,J,J,F,101,NULL,11,10,2021,830,902,CT,12,300,NULL,,,,,,,,
