record_number,code,band_size,scribe,bander,band_prefix,band_number,species_code,species_name,calendar_age,wrp_age,how_age,how_age2,sex,how_sex,how_sex2,eye_color,skull,bp,cp,fat,body_molt,ff_molt,ff_wear,juv_plg,pp_covs,gr_covs,primaries,secondaries,tertials,rectrices,body_plg,wing_chord,mass,day,month,year,capture_time,release_time,station,net_number,status,disposition,notes,comments,notes,,,,,
NULL,N,1,DR,ES,2221,23581,INBU,Indigo Bunting,ASY,NULL,P,NULL,M,P,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,14.4,8,4,2021,730,NULL,CT,2,300,NULL,Orchard 2,NABC,,,,,,
NULL,N,1,JC,OW,2221,23582,REVI,Red-eyed Vireo,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,10.5,8,4,2021,800,NULL,CT,NULL,300,NULL,NULL,NABC,,,,,,
NULL,N,1,JC,OW,2221,23583,REVI,Red-eyed Vireo,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,12.3,8,4,2021,800,NULL,CT,NULL,300,NULL,NULL,NABC,,,,,,
NULL,N,1,JC,RC,2221,23584,REVI,Red-eyed Vireo,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,10.5,8,4,2021,800,NULL,CT,NULL,300,NULL,NULL,NABC,,,,,,
NULL,N,1,OW,DF,2221,23585,REVI,Red-eyed Vireo,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,17.7,9,4,2021,700,NULL,CT,17,300,NULL,Limit between the terts and secondary,NABC,,,,,,
NULL,N,1,OW,LP,2221,23586,REVI,Red-eyed Vireo,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,17.2,9,4,2021,700,NULL,CT,17,300,NULL,NULL,NABC,,,,,,
NULL,N,1,RC,PR,2221,23587,REVI,Red-eyed Vireo,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,19,9,4,2021,730,NULL,CT,2,300,NULL,NULL,NABC,,,,,,
NULL,N,1,JC,WS,2221,23588,REVI,Red-eyed Vireo,SY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,17.2,9,4,2021,900,NULL,CT,16,300,NULL,NULL,NABC,,,,,,
NULL,N,1,DR,MC,2221,23589,REVI,Red-eyed Vireo,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,20.2,13,4,2021,730,NULL,CT,13,300,NULL,NULL,NABC,,,,,,
NULL,N,1,ES,DF,2221,23590,REVI,Red-eyed Vireo,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,20.8,19,4,2021,720,NULL,CT,13,300,NULL,NULL,NULL,,,,,,
NULL,N,1,ES,DF,2221,23591,NOWA,Northern Waterthrush,ASY,NULL,P,NULL,U,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,19,19,4,2021,720,NULL,CT,NULL,300,NULL,NULL,NULL,,,,,,
NULL,N,1,NULL,NULL,2221,23592,BADE,BAND DESTROYED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,4,2021,NULL,NULL,CT,NULL,NULL,NULL,,,,,,,,
NULL,N,1,NULL,NULL,2221,23593,BADE,BAND DESTROYED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,4,2021,NULL,NULL,CT,NULL,NULL,NULL,,,,,,,,
NULL,N,1,RC,RS,2221,23594,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,NULL,NULL,0,0,0,0,N,1,NULL,J,F,J,J,F,J,F,62,9.3,29,9,2021,620,NULL,TREES,17,300,NULL,,NULL,,,,,,
NULL,R,1,TB,SP,2221,23594,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,0,0,N,0,NULL,J,F,J,J,J,J,F,62,9.7,14,10,2021,1610,1654,CT,52,300,NULL,,,,,,,,
NULL,R,1,SL,AJ,2221,23594,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,F,J,J,J,J,F,62,10.2,8,11,2021,16:00,16:32,CT,52,300,NULL,,,,,,,,
NULL,N,1,RC,RS,2221,23595,HOWA,Hooded Warbler,HY,FCF,L,NULL,F,P,NULL,NULL,NULL,0,0,0,0,N,1,NULL,J,F,J,J,F,J,F,61,8.8,29,9,2021,620,NULL,TREES,17,300,NULL,,,,,,,,
NULL,R,1,MAC,KC,2221,23595,HOWA,Hooded Warbler,SY,FCF,1,,F,1,,,,0,0,1,Y,5,,,J,F,J,J,J,J,F,62,,11,3,2022,1030,1053,,25,,R,,,,,,,,
NULL,R,1,EM,KH,2221,23595,HOWA,Hooded Warbler,HY,FCF,L,NULL,F,P,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,62,9.5,13,10,2021,1550,1615,CT,24,300,NULL,,,,,,,,
NULL,R,1,AS,LP,2221,23595,HOWA,Hooded Warbler,HY,FCF,L,NULL,F,P,NULL,NULL,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,NULL,9.5,19,10,2021,1505,1535,CT,3,300,NULL,,,,,,,,
NULL,R,1,FF,SS,2221,23595,HOWA,Hooded Warler,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,14,10,2022,715,725,CT,17B,300,1,,,,,,,,
NULL,R,1,JW,WD,2221,23595,HOWA,Hooded Warbler,HY,FCF,L,NULL,F,P,NULL,NULL,NULL,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,9.8,11,11,2021,16:10,16:55,CT,4,300,NULL,,,,,,,,
NULL,N,1,RS,RC,2221,23596,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,NULL,NULL,0,0,0,0,N,1,NULL,J,F,J,J,F,J,F,67,10.9,29,9,2021,720,NULL,TREES,17,300,NULL,,,,,,,,
NULL,N,1,RC,LP,2221,23597,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,0,0,N,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,17.1,29,9,2021,750,NULL,CT,17,300,NULL,,NULL,,,,,,
NULL,N,1,RC,ES,2221,23598,KEWA,Kentucky Warbler,HY,FCF,L,NULL,M,P,NULL,NOT RED,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,61,12.9,29,9,2021,820,NULL,CT,17,300,NULL,,,,,,,,
NULL,R,1,RC,ES,2221,23598,KEWA,Kentucky Warbler,HY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,1,NULL,N,1,NULL,J,L,J,J,F,J,F,62,11.8,1,10,2021,610,NULL,CT,16,300,NULL,NULL,NABC,,,,,,
NULL,R,1,TB,MC,2221,23598,KEWA,Kentucky Warbler,NULL,FCF,L,NULL,U,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,10,2021,830,NULL,CT,12,300,NULL,RECENT RECAP,,,,,,,
NULL,R,1,MB,SL,2221,23598,KEWA,Kentucky Warbler,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,0,N,2,NULL,J,F,J,J,J,J,F,62,13.2,29,10,2021,1700,1724,CT,11,300,NULL,,,,,,,,
NULL,R,1,SL,QA,2221,23598,KEWA,Kentucky Warbler,HY,FCF,L,NULL,M,NULL,NULL,DC,6,0,0,1,1,N,1,NULL,J,F,J,J,J,J,F,62,12.5,10,11,2021,16:10,16:41,CT,15,300,NULL,,,,,,,,
NULL,N,1,RC,ES,2221,23599,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,NULL,NULL,0,0,1,0,N,1,NULL,J,L,J,J,L,J,F,66,9.4,30,9,2021,650,NULL,TREES,24,300,NULL,,,,,,,,
NULL,N,1,RC,FF,2221,23600,KEWA,Kentucky Warbler,AHY,DCB,NULL,NULL,M,P,NULL,NULL,NULL,0,0,0,0,N,1,NULL,B,B,B,B,B,B,B,68,13.1,30,9,2021,820,NULL,TREES,12,300,NULL,,,,,,,,
NULL,R,1,ZA,EB,2221,23600,KEWA,Kentucky Warbler,AHY,DCB,P,NULL,M,P,NULL,DB,NULL,0,0,0,0,N,1,NULL,B,B,B,B,B,B,B,70,8.9,14,10,2021,1645,1708,CT,24,300,NULL,,,,,,,,
NULL,R,1,KW,FF,2221,23600,KEWA,Kentucky Warbler,AHY,DCB,P,NULL,M,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B,B,B,B,B,B,B,NULL,15.2,26,10,2021,900,912,CT,26,300,NULL,,,,,,,,
NULL,R,1,TB,JH,2221,23600,KEWA,Kentucky Warbler,AHY,DCB,P,NULL,M,P,NULL,DB,NULL,0,0,1,0,N,1,NULL,B,B,B,B,B,B,B,68,15.5,21,10,2021,1105,1214,CT,26,300,NULL,,,,,,,,
NULL,R,1,ZA,JH,2221,23600,KEWA,Kentucky Warbler,AHY,DCB,P,NULL,M,P,NULL,DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B,B,B,B,B,B,B,NULL,15.8,21,10,2021,1630,1646,CT,1,300,NULL,SAME DAY RECAP,,,,,,,
NULL,R,1,TB,JH,2221,23600,KEWA,Kentucky Warbler,AHY,DCB,P,NULL,M,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,B,B,B,B,B,B,B,69,14.8,25,10,2021,720,750,CT,17,500,W,BLEEDING WING INJURY - POSSIBLE ATTEMPTED PREDATION,,,,,,,
NULL,N,1,RC,ES,2221,23601,HOWA,Hooded Warbler,HY,FCF,L,NULL,F,P,NULL,NULL,NULL,0,0,0,0,N,1,NULL,J,F,F,F,F,J,F,64,16.7,1,10,2021,610,NULL,TREES,14,300,NULL,,,,,,,,
NULL,R,1,EM,SP,2221,23601,HOWA,Hooded Warbler,AHY,DCB,P,NULL,M,P,NULL,DB,NULL,0,0,0,0,N,1,NULL,B,B,B,B,B,B,B,70,15.1,14,10,2021,555,625,CT,17B,300,NULL,,,,,,,,
NULL,N,1,SL,MC,2221,23602,KEWA,Kentucky Warbler,HY,FCF,P,L,NULL,NULL,NULL,NULL,NULL,0,0,1,0,N,0,NULL,J,F,J,J,J,J,F,66,NULL,5,10,2021,600,NULL,CT,15,300,NULL,HY - FORGOT SEX,,,,,,,
NULL,R,1,TB,MB,2221,23602,KEWA,Kentucky Warbler,HY,FCF,P,NULL,M,P,NULL,NULL,NULL,0,0,1,0,N,1,NULL,J,F,J,J,J,J,F,65,NULL,8,10,2021,700,NULL,CT,11,300,NULL,,,,,,,,
NULL,R,1,JH,SHD,2221,23602,KEWA,Kentucky Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,65,13.1,7,11,2021,7:55,8:56,CT,11,300,NULL,,,,,,,,
NULL,R,1,JW,NB,2221,23602,KEWA,Kentucky Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,13.8,11,11,2021,16:40,17:22,CT,53,300,NULL,,,,,,,,
NULL,N,1,SL,MC,2221,23603,REVI,Red-eyed Vireo,HY,FCF,P,L,U,NULL,NULL,NULL,NULL,0,0,1,0,N,1,NULL,J,F,J,J,J,J,F,80,NULL,5,10,2021,700,NULL,CT,14,300,NULL,,,,,,,,
NULL,N,1,TB,MC,2221,23604,REVI,Red-eyed Vireo,HY,FCF,P,L,U,NULL,NULL,NULL,NULL,0,0,7,0,N,3,NULL,J,L,J,J,J,J,F,75,17.4,5,10,2021,730,NULL,CT,14,300,NULL,,,,,,,,
NULL,N,1,MB,MC,2221,23605,OVEN,Ovenbird,HY,FCF,P,S,U,NULL,NULL,NULL,6,0,0,2,0,N,1,NULL,F,F,J,J,J,J,F,73,18.3,6,10,2021,930,NULL,CT,16,300,NULL,,,,,,,,
NULL,R,1,TB,FF,2221,23605,OVEN,Ovenbird,HY,FCF,P,NULL,U,NULL,NULL,NULL,NULL,0,0,2,0,N,1,NULL,J,J,J,J,J,J,J,71,17.7,8,10,2021,630,NULL,CT,17B,300,NULL,,,,,,,,
NULL,N,1,ZA,MC,2221,23606,NOWA,Northern Waterthrush,HY,FCF,P,NULL,U,NULL,NULL,NULL,NULL,0,0,4,0,N,1,NULL,J,J,J,J,J,J,F,73,17,7,10,2021,730,NULL,CT,14,300,NULL,,,,,,,,
NULL,N,1,ZA,FF,2221,23607,OVEN,Ovenbird,AHY,DCB,P,NULL,U,NULL,NULL,NULL,NULL,0,0,0,0,N,1,NULL,B,B,B,B,B,B,B,69,17.1,8,10,2021,800,NULL,CT,14,300,NULL,,,,,,,,
NULL,R,1,MAC,KC,2221,23607,OVEN,Ovenbird,SY,FCF,10,,U,5,6,,,0,0,2,N,N,,,J,F,J,J,J,J,F,69,13.3,25,3,2022,1400,1310,,16,,R,TL=46; NTT=8.9mm,,,,,,,
NULL,R,1,KC,GM,2221,23607,OVEN,Ovenbird,SY,FCF,10,1,U,5,6,,,0,0,1,N,N,,,J,M,J,J,J,J,F,69,16.2,26,3,2022,630,,,16,,,,,,,,,,
NULL,R,1,FF,JF,2221,23607,OVEN,Ovenbird,SY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,4,1,N,3,,J,F,J,J,J,J,F,69,18.8,13,4,2022,945,NULL,CT,13,300,NULL,,,,,,,,
NULL,R,1,NULL,FF,2221,23607,OVEN,Ovenbird,SY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,2,1,N,2,,J,F,J,J,J,J,F,69,NULL,5,4,2022,745,NULL,CT,NULL,NULL,NULL,,,,,,,,
NULL,R,1,RGM,RGM,2221,23607,OVEN,Ovenbird,SY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,2,1,N,2,,J,F,J,J,J,NULL,NULL,69,24.4,6,4,2022,730,757,CT,15,300,NULL,,,,,,,,
NULL,R,1,TB,SL,2221,23607,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,68,18.4,12,10,2021,715,735,CT,11,300,NULL,RECENT RECAP (2 DAYS),,,,,,,
NULL,R,1,EM,NULL,2221,23607,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,70,17.6,15,10,2021,615,643,CT,16,300,NULL,,,,,,,,
NULL,R,1,MB,TB,2221,23607,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,J,F,J,J,J,J,F,NULL,17.4,20,10,2021,825,923,CT,26,300,NULL,SAME DAY RECAP,,,,,,,
NULL,R,1,SL,TB,2221,23607,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,1,N,1,NULL,J,F,J,J,J,J,L,72,17.8,20,10,2021,655,704,CT,16,300,NULL,"Feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,R,1,SL,KW,2221,23607,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,1,1,N,1,NULL,J,L,J,J,J,J,F,69,18.5,31,10,2021,800,820,CT,16,300,NULL,Outtermost gr cov on left wing retained. Previously feather sampled by chris sayers?,,,,,,,
NULL,R,1,CC,CD,2221,23607,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,1,0,1,NULL,J,F,J,J,J,L,F,69,17.8,9,11,2021,6:30,7:22,CT,14,300,NULL,,,,,,,,
NULL,N,1,SL,FF,2221,23608,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,0,0,N,1,NULL,J,L,J,J,J,J,F,74,15.9,8,10,2021,800,NULL,CT,11,300,NULL,,,,,,,,
NULL,N,1,SL,TB,2221,23609,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,L,J,J,J,J,F,73,17.2,11,10,2021,630,648,CT,26,300,NULL,,,,,,,,
NULL,R,1,TB,MB,2221,23609,OVEN,Ovenbird,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL,11,10,2021,NULL,NULL,CT,NULL,300,NULL,SAME DAY RECAP,,,,,,,
NULL,N,1,SL,MB,2221,23610,HOWA,Hooded Warbler,HY,FCF,L,NULL,NULL,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,F,J,J,J,J,F,61,NULL,11,10,2021,630,704,CT,17B,300,NULL,,,,,,,,
NULL,N,1,MC,MB,2221,23611,HOWA,Hooded Warbler,U,UCU,NULL,NULL,M,P,NULL,DB,NULL,0,0,2,0,N,1,NULL,U,U,U,U,U,U,U,65,9.3,11,10,2021,700,745,CT,24,300,NULL,,,,,,,,
NULL,N,1,ZA,FF,2221,23612,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,63,8.8,11,10,2021,830,845,CT,14,300,NULL,,,,,,,,
NULL,N,1,MB,TB,2221,23613,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,NULL,0,N,NULL,NULL,J,F,J,J,J,J,F,75,18.5,12,10,2021,615,636,CT,8,300,NULL,ESCAPED BEFORE FF WEAR AND FAT,,,,,,,
NULL,N,1,ZA,EB,2221,23614,HOWA,Hooded Warbler,AHY,DCB,P,NULL,M,P,NULL,DB,NULL,0,0,1,0,N,1,NULL,B,B,B,B,B,B,B,67,10.4,13,10,2021,845,915,CT,13,300,NULL,,,,,,,,
NULL,N,1,EM,EB,2221,23615,KEWA,Kentucky Warbler,AHY,DCB,P,NULL,F,P,NULL,DB,NULL,0,0,0,0,N,1,NULL,B,B,B,B,B,B,B,64,13.3,13,10,2021,1605,1644,CT,52,318,NULL,"Blood and feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,N,1,EM,LW,2221,23616,LOWA,Louisiana Waterthrush,AHY,DCB,P,NULL,U,NULL,NULL,DB,NULL,0,0,0,0,N,0,NULL,B,B,B,B,B,B,B,80,20.4,13,10,2021,1645,1725,CT,8,318,NULL,"Blood and feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,N,1,EM,ZA,2221,23617,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,F,J,J,J,J,F,64,8.8,14,10,2021,615,640,CT,14,300,NULL," Feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,R,1,ASB,EA,2221,23617,HOWA,Hooded Warbler,SY,FCF,1,,4,1,,,,0,0,3,N,N,,,J,F,J,J,J,J,F,64,-,14,3,2022,1425,1442,,12,,R,,,,,,,,
NULL,R,1,MH,RGM,2221,23617,HOWA,Hooded Warbler,SY,FCF,1,10,M,1,,,,0,0,0,N,N,,,J,F,J,J,J,J,F,65,15.5,21,3,2022,1015,1024,,16,,R,,,,,,,,
NULL,R,1,NULL,FF,2221,23617,HOWA,Hooded Warbler,SY,FCF,L,NULL,M,P,NULL,NULL,NULL,0,0,4,0,N,3,,J,F,J,J,J,J,F,63,12.4,1,4,2022,920,NULL,CT,NULL,300,NULL,,,,,,,,
NULL,R,1,ZA,TB,2221,23617,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,62,9.4,21,10,2021,1105,1148,CT,12,300,NULL,,,,,,,,
NULL,R,1,SL,TB,2221,23617,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,F,J,J,J,J,F,63,9.4,26,10,2021,730,805,CT,11,300,NULL,,,,,,,,
NULL,R,1,ZA,MB,2221,23617,HOWA,Hooded Warbler,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,10,2021,830,842,CT,24,300,NULL,SAME DAY RECAP,,,,,,,
NULL,R,1,FF,SS,2221,23617,HOWA,Hooded Warler,AHY,DCB,P,NULL,M,P,NULL,NULL,NULL,0,0,0,0,N,2,NULL,B,B,B,B,B,B,B,65,9.7,6,10,2022,715,805,CT,14,300,1,,,,,,,,
NULL,N,1,RC,TB,2221,23618,KEWA,Kentucky Warbler,HY,FCF,L,NULL,M,P,NULL,B,NULL,0,0,1,0,N,1,NULL,J,F,J,J,J,J,F,65,14.1,14,10,2021,715,759,CT,50,318,NULL,"Blood and feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,R,1,FF,GM,2221,23618,KEWA,Kentucky Warbler,AHY,DCB,P,NULL,M,P,NULL,NULL,NULL,0,0,0,0,N,2,NULL,B,B,B,B,B,B,B,71,15.7,15,9,2022,815,845,CT,11,300,1,,,,,,,,
NULL,R,1,CD,LL,2221,23618,KEWA,Kentucky Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,0,1,0,1,NULL,J,J,J,J,J,A,F,66,15,9,11,2021,9:15,9:52,CT,51,300,NULL,"B6-4 MOLTING ON RIGHT, R6 ON LEFT",,,,,,,
NULL,N,1,GW,EB,2221,23619,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,70,14.1,14,10,2021,815,857,CT,12,300,NULL,,,,,,,,
NULL,R,1,RGM,KC,2221,23619,OVEN,Ovenbird,SY,FCF,1,,U,5,6,,,0,0,1,Y,Y,,,J,F,J,J,J,J,F,70,16.3,19,3,2022,830,916,,16,,R,,,,,,,,
NULL,R,1,MAC,EA,2221,23619,OVEN,Ovenbird,SY,FCF,1,NULL,U,5,6,,NULL,0,0,2,N,5,NULL,,J,F,J,J,J,J,F,70,31.7,7,3,2022,8:00,8:27,CT,16,NULL,R,,,,,,,,
NULL,R,1,ZA,MB,2221,23619,OVEN,Ovenbird,HY,FCF,P,NULL,U,NULL,NULL,DB,NULL,0,0,0,2,N,1,NULL,J,F,J,J,J,J,F,69,16.4,30,10,2021,850,925,CT,1,300,NULL,,,,,,,,
NULL,N,1,SP,EB,2221,23620,WEWA,Worm-eating Warbler,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,64,11.6,15,10,2021,845,934,CT,8,318,NULL,"Blood and feather sampled by Chris Sayers, Cornell Trace Mercury Study",,,,,,,
NULL,R,1,MMN,EA,2221,23620,WEWA,Worm-eating Warbler,SY,FCF,1,,U,5,6,,,0,0,1,N,5,,,J,F,J,J,J,J,F,63,11.7,15,3,2022,1000,1025,,NF,,R,,,,,,,,
NULL,R,1,KC,RGM,2221,23620,WEWA,Worm-eating Warbler,SY,FCF,10,,U,5,6,,,0,0,1,Y,Y,,,J,F,J,J,J,J,F,65,12.2,26,3,2022,700,754,,15,,,,,,,,,,
NULL,R,1,MAC,EA,2221,23620,WEWA,Worm-eating Warbler,ASY,DCB,1,NULL,U,5,6,,NULL,0,0,0,N,5,NULL,,B,B,B,B,B,B,B,63,11.5,1,3,2022,8:05,8:19,CT,15,NULL,2,,,,,,,,
NULL,R,1,TB,JH,2221,23620,WEWA,Worm-eating warbler,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,F,J,J,J,J,F,66,11.8,27,10,2021,625,651,CT,14,300,NULL,,,,,,,,
NULL,N,1,KW,TB,2221,23621,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,2,0,N,0,NULL,J,F,J,J,J,J,F,66,10.7,19,10,2021,830,855,CT,17B,300,NULL,,,,,,,,
NULL,N,1,AM,ES,2221,23622,OVEN,Ovenbird,HY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,69,15.3,19,10,2021,900,NULL,CT,3,300,NULL,,,,,,,,
NULL,R,1,FF,FF,2221,23622,OVEN,Ovenbird,SY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,1,0,N,1,,J,F,J,J,J,J,F,70,18.8,5,4,2022,815,NULL,CT,10,NULL,NULL,,,,,,,,
NULL,N,1,AM,ES,2221,23623,KEWA,Kentucky Warbler,HY,FCF,L,NULL,F,P,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,62,12.1,19,10,2021,900,951,CT,3,300,NULL,,,,,,,,
NULL,R,1,KC,MH,2221,23623,KEWA,Kentucky Warbler,SY,FCF,1,,M,1,,,,0,0,1,2,N,,,J,F,J,J,J,J,F,35,12.7,21,3,2022,1015,,,3,,R,,,,,,,,
NULL,R,1,JH,KW,2221,23623,KEWA,Kentucky Warbler,HY,FCF,L,NULL,M,NULL,NULL,DB,NULL,0,0,1,0,A,1,NULL,J,F,J,J,J,J,F,61,12.2,31,10,2021,900,956,CT,3,300,NULL,RE-GROWING FULL TAIL,,,,,,,
NULL,N,1,JH,TB,2221,23624,KEWA,Kentucky Warbler,HY,FCF,L,NULL,F,P,NULL,DB,NULL,0,0,1,0,N,1,NULL,J,F,J,J,J,J,F,66,13.9,19,10,2021,1505,1551,CT,3,300,NULL,,,,,,,,
NULL,N,1,AS,MB,2221,23625,NOWA,Northern Waterthrush,HY,FCF,L,NULL,U,NULL,NULL,NULL,NULL,0,0,2,0,N,1,NULL,J,F,J,J,L,J,F,75,16.3,19,10,2021,1705,NULL,CT,1,300,NULL,,,,,,,,
NULL,N,1,FF,SL,2221,23626,HOWA,Hooded Warbler,HY,FCF,L,NULL,M,P,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,F,J,J,J,J,F,66,9.2,20,10,2021,755,NULL,CT,17,NULL,NULL,,,,,,,,
